Time	Actual Torque	Actual Velocity
0	0	0.022232
0.5	0	-0.0284733
1	0.00237	0.00540354
1.5	0	-0.0125873
2	0	0.0148911
2.5	0	-0.00140324
3	0.00237	-0.00305782
3.5	0.00237	-0.00496372
4	0	0.017195
4.5	0.00237	-0.023719
5	0	-0.00353953
5.5	0	-0.00454484
6	0	-0.00785398
6.5	0.00237	-0.00568628
7	0.00237	0.00546637
7.5	0	-0.0182317
8	0	0.0391861
8.5	0	0.00153938
9	0.00237	-0.0147027
9.5	0	0.00774926
10	0	0.0116134
10.5	0.00237	-0.00951903
11	0	0.0101055
11.5	0	-0.0172892
12	0	0.010828
12.5	0	0.0297299
13	0.00237	-0.00582242
13.5	0	-0.0347251
14	0.00237	-0.0212058
14.5	0	-0.0294681
15	0	0.0102416
15.5	0.00237	0.0292168
16	0.00237	-0.0193313
16.5	0	0.0483282
17	0.00237	-0.0155195
17.5	0.00237	-0.0138125
18	0.00237	0.0125664
18.5	0.00237	0.021478
19	0	-0.0181479
19.5	0.00237	-0.0228184
20	0	-0.0248814
20.5	0.00237	0.00623083
21	0.00237	0.00553968
21.5	0.00237	-0.0194569
22	0.00237	0.0155404
22.5	0	-0.0446734
23	0.00237	-0.00659734
23.5	0	0.00753982
24	0	0.0156347
24.5	0	-0.0026913
25	0	0.0013823
25.5	0.00237	0.00658687
26	0.00237	-0.0106814
26.5	0	-0.00537212
27	0.00237	-0.0194569
27.5	0	-0.0104091
28	0	0.00555015
28.5	0	0.0182841
29	0	-0.00756077
29.5	0	-0.00245044
30	0.00237	0.0329763
30.5	0.00237	-0.00875457
31	0	-0.0334894
31.5	0	0.00150796
32	0	0.0065031
32.5	0	-0.0129643
33	0.00474	-0.0100217
33.5	0	0.0488727
34	0.00237	0.0150692
34.5	0.00237	-0.0070267
35	0	0.0288503
35.5	0.00237	-0.0271329
36	0.00237	0.00411549
36.5	0.00237	0.00989602
37	0.00237	-0.00921534
37.5	0.00237	-0.0209858
38	0	0.0174463
38.5	0.00237	-0.0153729
39	0.00237	0.0099379
39.5	0.00237	0.0204204
40	0	-0.0203785
40.5	0	-0.000544543
41	0	0.00826239
41.5	0	-0.0260333
42	0	-0.0388824
42.5	0	-0.0111736
43	0.00237	-0.0266826
43.5	0.00237	-0.0153624
44	0	-0.00940383
44.5	0	0.0292482
45	0.00237	0.0389034
45.5	0.00237	-0.00933053
46	0.00237	-0.00508938
46.5	0.00237	-0.0016441
47	0	-0.0207659
47.5	0.00237	0.00859749
48	0.00237	0.0374583
48.5	0	-0.00263894
49	-0.00237	-0.0226614
49.5	0	0.0236352
50	0	0.0109118
50.5	0.00237	0.00441917
51	0.00237	-0.0107547
51.5	0	0.0159383
52	0.00237	0.0107547
52.5	0.00237	0.0010472
53	0	-0.0123569
53.5	0	-0.0121056
54	0	-0.0153205
54.5	0.00237	0.0301279
55	0	0.0161373
55.5	0.00237	-0.00630413
56	0	-0.00781209
56.5	0	0.025028
57	0.00237	-0.0144513
57.5	0	0.00312065
58	0	0.000198968
58.5	0.00237	0.0241065
59	0	-0.00674395
59.5	0.00237	-0.0138754
60	0.00237	0.00789587
60.5	0	0.00232478
61	0.00237	-0.00129852
61.5	0.00237	0.00701622
62	0.00237	0.0070267
62.5	0	0.00596903
63	0	-0.0266721
63.5	0	0.00346622
64	0	-0.00103673
64.5	-0.00237	0.002241
65	0	-0.000408407
65.5	0.00237	0.00516268
66	0.00237	0.0313217
66.5	0	-0.0353848
67	0	-0.018881
67.5	0	0.00626224
68	0	0.00839852
68.5	0	0.00289027
69	0.00237	0.00457625
69.5	0	0.0149226
70	0.00237	0.00172788
70.5	0	-0.0137602
71	0.00474	0.0122208
71.5	0.00237	-0.0189962
72	0.00237	-0.00348717
72.5	0	0.00680678
73	0.00237	-0.013446
73.5	0.00237	0.000303687
74	0.00237	0.00286932
74.5	0	-0.0163363
75	0	-0.0251956
75.5	0	0.00361283
76	0	0.00415737
76.5	0.00237	-0.00812625
77	0	-0.0350811
77.5	0	0.0155928
78	0	1.0472e-05
78.5	0	0.00237714
79	0.00237	-0.0450714
79.5	0.00237	0.0154881
80	0	0.0082205
80.5	-0.00237	0.0157603
81	0	-0.0273737
81.5	0	0.00303687
82	0.00237	0.00153938
82.5	0.00237	0.0182317
83	0.00237	0.0033615
83.5	0.00237	-0.012514
84	0	0.0251746
84.5	0	-0.0231745
85	0	0.0454379
85.5	0.00237	0.0320024
86	0	-0.0142942
86.5	0.00237	0.0225462
87	0	0.000136136
87.5	0	0.000335103
88	0.00237	0.00239808
88.5	0.00237	0.0194046
89	0.00237	0.000335103
89.5	0.00237	-0.028777
90	0	0.0314997
90.5	0.00237	0.00686962
91	0	-0.0362226
91.5	0	-0.0133413
92	-0.00237	-0.00254469
92.5	0.00237	0.0305258
93	0	-0.0115192
93.5	0	-0.0150273
94	0	0.000429351
94.5	0	-0.0046705
95	0	0.00541401
95.5	0	0.0134984
96	0	-0.019436
96.5	0.00237	0.0109746
97	0.00237	0.000387463
97.5	0	0.00830428
98	0.00237	0.000942478
98.5	0.00237	-0.0172264
99	0	0.0250804
99.5	0.00237	-0.0024295
100	0.00237	0.00852419
100.5	0.00474	-0.0148283
101	0	-0.0165876
101.5	0.00237	0.00616799
102	-0.00237	0.00166504
102.5	0	-0.0226928
103	0	0.024494
103.5	0	0.0158546
104	0.00237	0.00237714
104.5	0.00237	0.0193313
105	0.00237	-0.0139068
105.5	0.00237	0.0195302
106	0.00237	0.00142419
106.5	0.00237	-0.0117181
107	0.00237	-0.00402124
107.5	0.00237	-0.000418879
108	0.00711	-0.0148178
108.5	0.00237	0.0137706
109	0.00237	0.00592714
109.5	0.00237	0.0189962
110	0.00237	0.00243997
110.5	0	0.0213838
111	0.00237	-0.0129538
111.5	-0.00237	-0.0065031
112	0.00237	0.0158965
112.5	0.00237	0.0131423
113	0	0.0172369
113.5	0	-0.0120951
114	0	0.0207869
114.5	0.00237	0.0226509
115	0	-0.00079587
115.5	0.00237	0.0136973
116	0	-0.00759218
116.5	0.00237	0.00260752
117	0	0.00300546
117.5	0	0.00339292
118	0.00237	-0.000251327
118.5	0	-0.00833569
119	0.00237	0.0281801
119.5	0.00237	-0.0136764
120	0.00237	0.00454484
120.5	-0.00237	0.0103149
121	-0.00237	-0.0037385
121.5	0	-0.0225776
122	0.00237	0.00166504
122.5	0.00237	0.0201167
123	0	-0.0198234
123.5	0.00237	0.0118543
124	0.00237	0.0206717
124.5	0	-0.0122417
125	0.00237	-0.00107861
125.5	0.00237	0.0190695
126	0.00237	0.00441917
126.5	0	-0.000785398
127	0.00237	-0.0195617
127.5	0.00237	0.00544543
128	0	0.00988554
128.5	-0.00237	0.000973894
129	-0.00237	-0.00264941
129.5	0.00237	-0.036788
130	0.00237	-0.000806342
130.5	0.00237	0.0264941
131	0	0.0179385
131.5	0	-0.00640885
132	0	-0.00282743
132.5	0.00237	0.00787493
133	0.00237	-0.0164515
133.5	0.00237	-0.00523599
134	0	0.00758171
134.5	0	-0.0384636
135	0.00237	0.0485062
135.5	0	0.0206403
136	0	-0.00366519
136.5	0	-0.0103358
137	0.00237	0.00701622
137.5	0	0.00137183
138	0.00237	-0.0278555
138.5	-0.00237	0.0230383
139	0.00237	-0.0322642
139.5	0.00237	-0.0148283
140	0	-0.0216665
140.5	0.00237	0.0164829
141	0.00237	-0.0027646
141.5	0.00237	-0.0136869
142	0.00237	-0.00394793
142.5	0	-0.0273004
143	0	0.0247139
143.5	0	-0.00815767
144	0	0.0157917
144.5	0	-0.00069115
145	0	0.00932006
145.5	0	-0.00460767
146	0	-0.00460767
146.5	0	-0.0169332
147	0	0.00951903
147.5	0.00237	0.0224729
148	0.00237	-0.0202004
148.5	-0.00237	0.010294
149	0.00237	0.000973894
149.5	0.00237	0.0172892
150	0	-0.0322013
150.5	0.00237	-0.0234572
151	0.00237	0.0188914
151.5	0	0.0257087
152	0.00237	-0.0348717
152.5	0.00237	-0.00542448
153	0	0.0102625
153.5	0.00237	-0.00764454
154	0	0.0192894
154.5	0.00474	-0.00739321
155	0.00237	-0.00464956
155.5	0.00237	0.023342
156	0.00237	-0.0148493
156.5	0.00237	0.0128701
157	0	0.0166086
157.5	0.00237	0.00622035
158	0.00237	-0.0120114
158.5	0	0.0249338
159	0.00237	0.0137078
159.5	0.00237	-0.050454
160	0.00237	0.0264732
160.5	-0.00237	-0.00200015
161	0.00237	-0.00393746
161.5	-0.00237	0.0320652
162	0.00237	0.00869174
162.5	0	-0.0119066
163	0	-0.0272481
163.5	0.00237	-0.0176348
164	0	0.00797965
164.5	0.00237	-0.0270596
165	0	-0.036254
165.5	0.00237	-0.0102521
166	0	-0.0110479
166.5	0.00237	0.0097913
167	0.00237	-0.0240751
167.5	0.00237	0.0296147
168	0.00237	0.0300965
168.5	0	0.00422021
169	0.00237	-0.00939336
169.5	0.00237	-0.00892212
170	0.00237	0.0232478
170.5	0.00237	0.00816814
171	0	-0.019614
171.5	-0.00237	0.0017174
172	0	0.0196454
172.5	0	0.0106291
173	0	0.0147236
173.5	0	-0.0090792
174	-0.00237	0.0227032
174.5	-0.00237	-0.015132
175	0.00237	0.036809
175.5	0.00237	0.0129643
176	0	-0.0374373
176.5	0	-0.0261695
177	0	0.0159383
177.5	0.00237	-0.00237714
178	0	0.0385159
178.5	0.00237	0.016818
179	0	0.00507891
179.5	0	0.00239808
180	0.00474	0.0298661
180.5	0	0.00207345
181	0.00237	0.015509
181.5	-0.00237	-0.0168389
182	0	0.0261799
182.5	0	0.00340339
183	0.00237	0.0103149
183.5	0	-0.0236667
184	0	-0.0217398
184.5	0	0.013268
185	0	0.0122417
185.5	0.00237	-0.0311751
186	0.00237	-0.0203156
186.5	0	-0.0123883
187	0.00237	-0.00367566
187.5	0	0.0133518
188	0	0.024096
188.5	0	0.0187658
189	0	-0.0291749
189.5	0.00237	0.0243473
190	0.00237	-0.0206298
190.5	-0.00237	0.0245777
191	0	-0.0247453
191.5	0	-0.00294263
192	0.00237	-0.0102835
192.5	0	-0.0092677
193	0	0.000994838
193.5	0.00237	0.0107652
194	0.00237	-0.00574911
194.5	0	0.0286932
195	0	-0.0191323
195.5	0	0.00441917
196	0.00237	0.00306829
196.5	0	0.0140534
197	0.00237	0.0197083
197.5	0	0.00311018
198	0.00237	-0.0259181
198.5	0	0.00838805
199	0.00237	0.0146922
199.5	0.00237	0.0041469
200	0	-0.00107861
200.5	0.00237	-0.0276041
201	0.00237	-0.00735133
201.5	0	0.00908967
202	0	-0.00600044
202.5	0	0.00324631
203	0	-0.00406313
203.5	0.00237	0.0219702
204	0	-0.025426
204.5	0	0.0193627
205	0.00237	0.0177081
205.5	0.00237	-0.0259286
206	0.00237	-0.00268083
206.5	0.00237	-0.0187553
207	0.00237	-0.000816814
207.5	0	0.0156032
208	0	-0.0132366
208.5	0	0.00581195
209	0	-0.00973894
209.5	0.00237	0.00431445
210	0.00237	0.0281696
210.5	0.00237	-0.0246929
211	0	-0.0285152
211.5	0.00237	0.0193208
212	0	0.0141372
212.5	0	-0.0150063
213	0	-0.0263789
213.5	0	-0.00469145
214	0.00237	0.0243892
214.5	0	-0.0415842
215	0	0.032526
215.5	0	0.00794823
216	0.00237	-0.0281906
216.5	0	0.00847183
217	0.00237	0.0141581
217.5	0.00237	-0.00899543
218	0	-0.0100322
218.5	0.00237	0.0355419
219	0.00237	-0.0137392
219.5	0	0.0436891
220	0.00237	0.0107128
220.5	0.00237	-0.0213419
221	0.00237	0.0185459
